date,avg_hourly_wage,avg_hourly_wage_lag,avg_hourly_wage_diff,USNHPI,USNHPI_diff
1/1/2011,22.87,22.87,0.11,139.028,-1.592
2/1/2011,22.87,22.87,0,137.724,-1.304
3/1/2011,22.87,22.91,0,137.778,0.054
4/1/2011,22.91,22.97,0.04,139.153,1.375
5/1/2011,22.97,23,0.06,140.688,1.535
6/1/2011,23,23.11,0.03,141.941,1.253
7/1/2011,23.11,23.06,0.11,142.339,0.398
8/1/2011,23.06,23.11,-0.05,141.782,-0.557
9/1/2011,23.11,23.18,0.05,140.161,-1.621
10/1/2011,23.18,23.19,0.07,138.398,-1.763
11/1/2011,23.19,23.22,0.01,136.653,-1.745
12/1/2011,23.22,23.26,0.03,135.155,-1.498
1/1/2012,23.26,23.28,0.04,134.156,-0.999
2/1/2012,23.28,23.36,0.02,133.986,-0.17
3/1/2012,23.36,23.39,0.08,135.855,1.869
4/1/2012,23.39,23.41,0.03,138.461,2.606
5/1/2012,23.41,23.46,0.02,141.037,2.576
6/1/2012,23.46,23.49,0.05,143.158,2.121
7/1/2012,23.49,23.48,0.03,144.272,1.114
8/1/2012,23.48,23.57,-0.01,144.695,0.423
9/1/2012,23.57,23.56,0.09,144.347,-0.348
10/1/2012,23.56,23.63,-0.01,143.957,-0.39
11/1/2012,23.63,23.72,0.07,143.95,-0.007
12/1/2012,23.72,23.74,0.09,143.857,-0.093
1/1/2013,23.74,23.78,0.02,144.301,0.444
2/1/2013,23.78,23.8,0.04,145.152,0.851
3/1/2013,23.8,23.87,0.02,147.952,2.8
4/1/2013,23.87,23.89,0.07,150.961,3.009
5/1/2013,23.89,23.96,0.02,153.851,2.89
6/1/2013,23.96,23.98,0.07,156.417,2.566
7/1/2013,23.98,24.02,0.02,158.276,1.859
8/1/2013,24.02,24.06,0.04,159.383,1.107
9/1/2013,24.06,24.09,0.04,159.663,0.28
10/1/2013,24.09,24.16,0.03,159.55,-0.113
11/1/2013,24.16,24.18,0.07,159.361,-0.189
12/1/2013,24.18,24.22,0.02,159.278,-0.083
1/1/2014,24.22,24.33,0.04,159.364,0.086
2/1/2014,24.33,24.31,0.11,159.865,0.501
3/1/2014,24.31,24.34,-0.02,161.178,1.313
4/1/2014,24.34,24.4,0.03,162.954,1.776
5/1/2014,24.4,24.46,0.06,164.667,1.713
6/1/2014,24.46,24.48,0.06,166.197,1.53
7/1/2014,24.48,24.54,0.02,167.122,0.925
8/1/2014,24.54,24.56,0.06,167.437,0.315
9/1/2014,24.56,24.59,0.02,167.228,-0.209
10/1/2014,24.59,24.66,0.03,166.896,-0.332
11/1/2014,24.66,24.63,0.07,166.644,-0.252
12/1/2014,24.63,24.74,-0.03,166.445,-0.199
1/1/2015,24.74,24.79,0.11,166.23,-0.215
2/1/2015,24.79,24.85,0.05,166.609,0.379
3/1/2015,24.85,24.89,0.06,168.068,1.459
4/1/2015,24.89,24.97,0.04,169.953,1.885
5/1/2015,24.97,24.97,0.08,171.835,1.882
6/1/2015,24.97,25.01,0,173.434,1.599
7/1/2015,25.01,25.1,0.04,174.477,1.043
8/1/2015,25.1,25.11,0.09,174.916,0.439
9/1/2015,25.11,25.2,0.01,175.021,0.105
10/1/2015,25.2,25.25,0.09,175.025,0.004
11/1/2015,25.25,25.25,0.05,175.115,0.09
12/1/2015,25.25,25.37,0,175.088,-0.027
1/1/2016,25.37,25.38,0.12,175.011,-0.077
2/1/2016,25.38,25.45,0.01,175.259,0.248
3/1/2016,25.45,25.53,0.07,176.582,1.323
4/1/2016,25.53,25.58,0.08,178.478,1.896
5/1/2016,25.58,25.62,0.05,180.327,1.849
6/1/2016,25.62,25.69,0.04,181.899,1.572
7/1/2016,25.69,25.71,0.07,183.002,1.103
8/1/2016,25.71,25.77,0.02,183.64,0.638
9/1/2016,25.77,25.9,0.06,183.926,0.286
10/1/2016,25.9,25.9,0.13,183.995,0.069
11/1/2016,25.9,25.93,0,184.205,0.21
12/1/2016,25.93,26,0.03,184.377,0.172
1/1/2017,26,26.07,0.07,184.63,0.253
2/1/2017,26.07,26.11,0.07,184.997,0.367
3/1/2017,26.11,26.18,0.04,186.507,1.51
4/1/2017,26.18,26.21,0.07,188.522,2.015
5/1/2017,26.21,26.26,0.03,190.517,1.995
6/1/2017,26.26,26.35,0.05,192.243,1.726
7/1/2017,26.35,26.37,0.09,193.487,1.244
8/1/2017,26.37,26.49,0.02,194.32,0.833
9/1/2017,26.49,26.5,0.12,194.788,0.468
10/1/2017,26.5,26.54,0.01,195.052,0.264
11/1/2017,26.54,26.63,0.04,195.416,0.364
12/1/2017,26.63,26.72,0.09,195.811,0.395
1/1/2018,26.72,26.74,0.09,196.083,0.272
2/1/2018,26.74,26.85,0.02,196.875,0.792
3/1/2018,26.85,26.91,0.11,198.542,1.667
4/1/2018,26.91,26.98,0.06,200.581,2.039
5/1/2018,26.98,27.03,0.07,202.418,1.837
6/1/2018,27.03,27.1,0.05,204.01,1.592
7/1/2018,27.1,27.21,0.07,204.919,0.909
8/1/2018,27.21,27.32,0.11,205.297,0.378
9/1/2018,27.32,27.37,0.11,205.343,0.046
10/1/2018,27.37,27.44,0.05,205.339,-0.004
11/1/2018,27.44,27.56,0.07,205.076,-0.263
12/1/2018,27.56,27.59,0.12,204.666,-0.41
1/1/2019,27.59,27.69,0.03,204.168,-0.498
2/1/2019,27.69,27.77,0.1,204.394,0.226
3/1/2019,27.77,27.79,0.08,205.741,1.347
4/1/2019,27.79,27.88,0.02,207.654,1.913
5/1/2019,27.88,27.97,0.09,209.317,1.663
6/1/2019,27.97,28.03,0.09,210.551,1.234
7/1/2019,28.03,28.14,0.06,211.302,0.751
8/1/2019,28.14,28.16,0.11,211.66,0.358
9/1/2019,28.16,28.24,0.02,211.839,0.179
10/1/2019,28.24,28.34,0.08,211.934,0.095
11/1/2019,28.34,28.38,0.1,212.074,0.14
12/1/2019,28.38,28.43,0.04,212.205,0.131
1/1/2020,28.43,28.54,0.05,212.363,0.158
2/1/2020,28.54,28.73,0.11,213.181,0.818
3/1/2020,28.73,30.04,0.19,215.157,1.976
4/1/2020,30.04,29.72,1.31,217.204,2.047
5/1/2020,29.72,29.38,-0.32,218.452,1.248
6/1/2020,29.38,29.39,-0.34,219.778,1.326
7/1/2020,29.39,29.49,0.01,221.533,1.755
8/1/2020,29.49,29.51,0.1,224.012,2.479
9/1/2020,29.51,29.54,0.02,226.762,2.75
10/1/2020,29.54,29.64,0.03,229.77,3.008
11/1/2020,29.64,29.91,0.1,232.273,2.503
12/1/2020,29.91,29.93,0.27,234.321,2.048
1/1/2021,29.93,30.05,0.02,236.394,2.073
2/1/2021,30.05,30.03,0.12,239.175,2.781
3/1/2021,30.03,30.22,-0.02,244.173,4.998
4/1/2021,30.22,30.41,0.19,249.783,5.61
5/1/2021,30.41,30.54,0.19,255.407,5.624
6/1/2021,30.54,30.66,0.13,261.126,5.719
7/1/2021,30.66,30.78,0.12,265.456,4.33
8/1/2021,30.78,30.98,0.12,268.725,3.269
9/1/2021,30.98,31.14,0.2,271.373,2.648
10/1/2021,31.14,31.23,0.16,273.577,2.204
11/1/2021,31.23,31.39,0.09,275.943,2.366
12/1/2021,31.39,31.6,0.16,278.516,2.573
1/1/2022,31.6,31.64,0.21,281.895,3.379
2/1/2022,31.64,31.8,0.04,287.114,5.219
3/1/2022,31.8,31.96,0.16,294.908,7.794
4/1/2022,31.96,32.1,0.16,301.525,6.617
5/1/2022,32.1,32.19,0.14,306.287,4.762
6/1/2022,32.19,32.34,0.09,308.082,1.795
7/1/2022,32.34,32.44,0.15,306.917,-1.165
8/1/2022,32.44,32.57,0.1,303.493,-3.424
9/1/2022,32.57,32.7,0.13,300.326,-3.167
10/1/2022,32.7,32.82,0.13,298.542,-1.784
11/1/2022,32.82,32.94,0.12,296.727,-1.815
12/1/2022,32.94,33.02,0.12,294.22,-2.507
1/1/2023,33.02,33.15,0.08,292.712,-1.508
2/1/2023,33.15,33.27,0.13,293.507,0.795
3/1/2023,33.27,33.43,0.12,297.428,3.921
4/1/2023,33.43,33.5,0.16,301.542,4.114
5/1/2023,33.5,33.69,0.07,305.409,3.867
6/1/2023,33.69,33.85,0.19,308.369,2.96
7/1/2023,33.85,33.89,0.16,310.292,1.923
8/1/2023,33.89,34.01,0.04,311.655,1.363
9/1/2023,34.01,34.08,0.12,312.511,0.856
10/1/2023,34.08,34.17,0.07,312.863,0.352
11/1/2023,34.17,34.29,0.09,312.104,-0.759
12/1/2023,34.29,34.47,0.12,310.922,-1.182
1/1/2024,34.47,34.52,0.18,310.786,-0.136
2/1/2024,34.52,34.65,0.05,312.709,1.923
3/1/2024,34.65,34.76,0.13,316.884,4.175
4/1/2024,34.76,34.89,0.11,320.81,3.926
5/1/2024,34.89,35.01,0.13,323.748,2.938
6/1/2024,35.01,35.08,0.12,325.3,1.552
7/1/2024,35.08,35.22,0.07,325.622,0.322
8/1/2024,35.22,35.34,0.14,325.068,-0.554
9/1/2024,35.34,35.46,0.12,324.696,-0.372
10/1/2024,35.46,35.6,0.12,324.014,-0.682
11/1/2024,35.6,35.69,0.14,323.732,-0.282
12/1/2024,35.69,35.84,0.09,323.341,-0.391
1/1/2025,35.84,35.94,0.15,323.671,0.33
2/1/2025,35.94,36.11,0.1,325.122,1.451
3/1/2025,36.11,36.12,0.17,327.74,2.618
4/1/2025,36.12,36.28,0.01,329.906,2.166
5/1/2025,36.28,36.36,0.16,331.423,1.517
6/1/2025,36.36,36.47,0.08,331.611,0.188
7/1/2025,36.47,36.62,0.11,330.966,-0.645
8/1/2025,36.62,36.7,0.15,329.865,-1.101
9/1/2025,36.7,36.85,0.08,328.971,-0.894
10/1/2025,36.85,37,0.15,328.558,-0.413
11/1/2025,37,37.02,0.15,328.353,-0.205
12/1/2025,37.02,0,0.02,327.455,-0.898
,,,,,
,,,,,
